spot_id,SPOT_REGION,SPOT_COUNTRY,Spot_Name,description,SPOT_TYPE,Longitude,Latitude,GoogleEarth_Link,Active,SPOT_FLAG,country_id,region_id,SESSION_SPOT,Class_ID,Long,Lat,date_add,NRSessions
2692,-,Portugal,Lagoa de Albufeira,Near Lisbon,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Lagoa de Albufeira,+Portugal",1,PT,221,483,Lagoa de Albufeira - Portugal,25,-9.175655808,38.51157681,2011-01-25 00:03:05.530,2
2693,-,Jamaica,bounty bay,"open sea , some flater water inside reef. Extrean caution needs to be taken when sailing over reef fltest water on easten side of bay, sail as close as you can to exposed reef onnce inside bare off down wind ",Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=bounty bay,+Jamaica",1,JM,148,410,bounty bay - Jamaica,24,NULL,NULL,2011-01-26 15:02:22.570,1
2696,-,United Kingdom,Beaver sailing club,Beaver sailing club,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Beaver sailing club,+United Kingdom",1,UK,268,530,Beaver sailing club - United Kingdom,25,NULL,NULL,2011-02-04 20:41:05.773,141
2697,Noord-Brabant,Netherlands,"Binnenschelde, Bergen op Zoom",Binnenmeer in de buurt van Bergen op Zoom,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Binnenschelde, Bergen op Zoom,+Netherlands",1,NL,202,146,"Binnenschelde, Bergen op Zoom Noord-Brabant Netherlands",25,4.270112442,51.48639448,2011-02-06 17:48:04.747,45
2698,-,Netherlands Antilles,Caracas bay Curacau,Caracas bay,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Caracas bay Curacau,+Netherlands Antilles",1,AN,47,309,Caracas bay Curacau - Netherlands Antilles,-1,NULL,NULL,2011-02-06 21:00:07.847,4
2700,South Australia,Australia,Stansbury,Nice Bay protected at low tide,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Stansbury,+Australia",1,AU,53,214,Stansbury South Australia Australia,24,NULL,NULL,2011-02-17 07:15:58.160,4
2701,Warszawa,Poland,Zalew Zegrzynski,Nearest lake to Warsaw,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Zalew Zegrzynski,+Poland",1,PL,217,273,Zalew Zegrzynski Warszawa Poland,25,21.03513752,52.44813163,2011-02-18 00:26:24.997,108
2703,-,Germany,Dollart - Alte Bohrinsel,wattspot zum flachwasserheizen,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Dollart - Alte Bohrinsel,+Germany",1,DE,96,358,Dollart - Alte Bohrinsel - Germany,24,7.2259338,53.2984208,2011-02-19 04:22:54.270,33
2705,-,Greece,Loutraki neraida,sea,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Loutraki neraida,+Greece",1,GR,126,388,Loutraki neraida - Greece,24,22.95625025,37.9778829,2011-02-19 04:25:21.237,29
2706,-,Trinidad & Tobago,Pigeon Point,The Lagoon at the Radical Sports Rental shop.,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Pigeon Point,+Trinidad & Tobago",1,TT,262,524,Pigeon Point - Trinidad & Tobago,24,-60.83506587,11.17666629,2011-02-24 22:52:52.063,7
2707,Queensland,Australia,"The Train , Gold Coast",1,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=The Train , Gold Coast,+Australia",1,AU,53,204,"The Train , Gold Coast Queensland Australia",25,153.4149902,-27.95577105,2011-02-28 02:21:43.783,23
2709,Nevada,United States,Washoe Lake,Also known as Brown Maui,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Washoe Lake,+United States",1,US,269,169,Washoe Lake Nevada United States,-1,NULL,NULL,2011-03-13 19:47:17.610,165
2710,Kalmar,Sweden,Byxelkrok,Open water,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Byxelkrok,+Sweden",1,SE,233,96,Byxelkrok Kalmar Sweden,-1,NULL,NULL,2011-03-22 21:32:30.960,3
2712,-,Cyprus,"Larnaca, Makenzie",Makenzie beach by Larnaca Airport,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Larnaca, Makenzie,+Cyprus",1,CY,94,356,"Larnaca, Makenzie - Cyprus",24,NULL,NULL,2011-03-27 10:09:13.840,18
2713,-,Italy,Colico,Italy,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Colico,+Italy",1,IT,147,409,Colico - Italy,-1,9.370271229,46.15019747,2011-03-27 15:08:10.707,431
2714,Burgenland,Austria,Zicksee,Small lake near Neusiedler See,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Zicksee,+Austria",1,AT,52,33,Zicksee Burgenland Austria,25,16.90278969,47.78768453,2011-03-27 18:55:16.917,57
2715,-,Cyprus,"Larnaca, Meneou",Meneou beach,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Larnaca, Meneou,+Cyprus",1,CY,94,356,"Larnaca, Meneou - Cyprus",24,NULL,NULL,2011-03-28 08:01:57.877,19
2717,Florida,United States,Lake Mangonia West Palm Beach,Downtown West Palm Beach,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Lake Mangonia West Palm Beach,+United States",1,US,269,61,Lake Mangonia West Palm Beach Florida United States,25,NULL,NULL,2011-04-01 03:33:53.643,1
2718,Noord-Holland,Netherlands,Kreisels Doppie,Speedstrip,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Kreisels Doppie,+Netherlands",1,NL,202,162,Kreisels Doppie Noord-Holland Netherlands,24,NULL,NULL,2011-04-01 19:18:17.573,2
2719,Flevoland,Netherlands,ijselmeeer Lelystadhaven   zuid,schuilhaven Lelystadhaven zuid,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=ijselmeeer Lelystadhaven   zuid,+Netherlands",1,NL,202,62,ijselmeeer Lelystadhaven   zuid Flevoland Netherlands,25,5.401335931,52.49888841,2011-04-02 21:05:28.290,114
2720,-,Mauritius,Grand BAie,off shore wind in a bay,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Grand BAie,+Mauritius",1,MU,190,452,Grand BAie - Mauritius,24,NULL,NULL,2011-04-06 18:24:48.510,1
2721,Stockholm,Sweden,Slagsta,Segling på Vårbyfjärden. Kan gå i antingen vid slagsta båtklubb eller på vårbysidan (ångbåtsbryggan),Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Slagsta,+Sweden",1,SE,233,235,Slagsta Stockholm Sweden,25,NULL,NULL,2011-04-09 17:53:22.137,1
2722,-,United Kingdom,Maldon,River sailing only sailable 2/3 hours at high water,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Maldon,+United Kingdom",1,UK,268,530,Maldon - United Kingdom,24,0.7279417,51.72660575,2011-04-10 20:18:39.457,9
2723,North Carolina,United States,"Pamlico Sound, Avon","Sound Side sailing north of Cape Hatteras, NC. 3 miles out just east of the reef.",Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Pamlico Sound, Avon,+United States",1,US,269,147,"Pamlico Sound, Avon North Carolina United States",24,-75.51437337,35.3762773,2011-04-12 02:36:25.107,69
2724,-,Germany,Spadener See,"Nähe Bremerhaven, für den Notfall",Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Spadener See,+Germany",1,DE,96,358,Spadener See - Germany,25,NULL,NULL,2011-04-13 20:09:07.323,1
2725,-,Germany,Xantener Südsee,Binnenrevier Baggersee,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Xantener Südsee,+Germany",1,DE,96,358,Xantener Südsee - Germany,25,6.449655739,51.68173139,2011-04-13 21:34:36.130,16
2726,-,Germany,fehmarn teichhof,ostlichj von altenteil,-,,,"http://maps.google.com/maps?f=q&hl=en&q=fehmarn teichhof,+Germany",1,DE,96,358,fehmarn teichhof - Germany,-1,NULL,NULL,2011-04-24 12:56:33.590,4
2727,-,Germany,Fehmarn Meeschendorfer Strand,kabbelig ,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Fehmarn Meeschendorfer Strand,+Germany",1,DE,96,358,Fehmarn Meeschendorfer Strand - Germany,24,NULL,NULL,2011-04-24 13:02:53.710,5
2729,-,China,Beijing Olympic Rowing Center,This could be a potential speed strip,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Beijing Olympic Rowing Center,+China",1,CN,86,348,Beijing Olympic Rowing Center - China,25,NULL,NULL,2011-04-25 01:14:28.593,3
2731,Gelderland,Netherlands,Harderwijk,flat water,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Harderwijk,+Netherlands",1,NL,202,70,Harderwijk Gelderland Netherlands,25,5.600222713,52.34809168,2011-04-27 00:32:17.700,38
2732,-,Germany,Fedderwardener Priel,North Sea,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Fedderwardener Priel,+Germany",1,DE,96,358,Fedderwardener Priel - Germany,24,8.426502952,53.56596726,2011-04-27 15:06:03.280,11
2733,Massachusetts,United States,Childrens Island,East Coast,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Childrens Island,+United States",1,US,269,128,Childrens Island Massachusetts United States,24,NULL,NULL,2011-04-27 22:52:21.133,1
2734,Massachusetts,United States,"Kennedy Slick, Hyannis, MA USA",1000 meter jetty extending out into Hyannis Port harbor.,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Kennedy Slick, Hyannis, MA USA,+United States",1,US,269,128,"Kennedy Slick, Hyannis, MA USA Massachusetts United States",24,NULL,NULL,2011-04-29 00:16:52.023,6
